text,group,sentiment
минотавр,576,neutral
робот,145,positive
привет,8814,negative
пока,5068,neutral
продавец,2139,positive
интрига,16011,neutral
еж,3343,neutral
харошо,16632,positive
сборщик,6298,negative
имя,5462,neutral
борщик,2062,positive
красота,11220,neutral
првет,8271,neutral
вася,9886,positive
разработчик,2282,negative
работа,2000,neutral
суперниндзя,7586,positive
уборщик,14739,neutral
вася,9886,neutral
продавец,2139,positive
красивый,10550,negative
шикарный,15392,neutral
отлично,947,positive
пылесос,1277,neutral
водопровод,12951,neutral
хорошо,3824,positive
директор,10902,negative
минотавр,576,neutral
робот,145,positive
привет,8814,neutral
пока,5068,neutral
продавец,2139,positive
интрига,16011,negative
еж,3343,neutral
харошо,16632,positive
сборщик,6298,neutral
имя,5462,neutral
борщик,2062,positive
красота,11220,negative
првет,8271,neutral
вася,9886,positive
разработчик,2282,neutral
работа,2000,neutral
суперниндзя,7586,positive
уборщик,14739,negative
вася,9886,neutral
продавец,2139,positive
красивый,10550,neutral
шикарный,15392,neutral
отлично,947,positive
пылесос,1277,negative
водопровод,12951,neutral
хорошо,3824,positive
директор,10902,neutral
абсолютно спокойный,11422,neutral
в принцип все спокойный,6271,positive
невозмутимый,9167,negative
спокойный,8793,neutral
спокойный,8793,positive
спокойствие,11899,neutral
спокойствие и поддержка,7944,neutral
умиротворение,17148,positive
адреналин,10512,negative
апатия,15686,neutral
апатия и нервозность,4543,positive
аппатия,6371,neutral
депрессия,15881,neutral
депрессия диагностировать пс,9405,positive
меланхолия,15981,negative
прокрастинация,545,neutral
беззащитность,12434,positive
отсутствие безопасность,16458,neutral
безисходность,14544,neutral
безнадежность,11036,positive
безысходгость,2996,negative
безысходность,2319,neutral
отчаяние,7985,positive
бесить,16304,neutral
беспокойство,5118,neutral
беспокойство за семь,5268,positive
бспокойство,13143,negative
волнение,9579,neutral
волнительный,15214,positive
время беспокойно,15302,neutral
легкий паника,9906,neutral
не спокойно,15429,positive
немного паниковать,15762,negative
немного тревога,11656,neutral
немного тревожный,16418,positive
нет паника. но волнение относить,14052,neutral
обеспокоенность,6052,neutral
очень волноваться,6444,positive
паника,10256,negative
паника шок тревога,2530,neutral
переживание,15035,positive
переживание смирение волнение,2330,neutral
переживание,15035,neutral
переживать,2259,positive
тревога,4465,negative
тревога за судьба сотрудник,6977,neutral
тревога и неизва-ть будущее,6908,positive
тревога. страх. нервозность.,15227,neutral
тревожно,12988,neutral
тревожный,13628,positive
тревожность,10801,negative
беспомощ,4188,neutral
бессилие,200,positive
болеть,13020,neutral
боль,4494,neutral
страдание,3409,positive
бояться,16681,negative
боязно,12554,neutral
страх,8170,positive
страх будущее,12498,neutral
страх и ужас,11799,neutral
страшно,150,positive
в ожидание,262,negative
ожидание,13362,neutral
ожидание от будущее,8324,positive
в порядок,9949,neutral
в_поток,13779,neutral
впорядок,5929,positive
все норма,17012,negative
все ока,12714,neutral
хорошо средний,4702,positive
норальный,16007,neutral
норма,8625,neutral
норма,8625,positive
нормалек,13265,negative
нормально,5004,neutral
нормальный,9301,positive
нормальный удовлетворительный,6208,neutral
нормальный.,7528,neutral
ока,3653,positive
пойти,13160,negative
